X,Y,Bouguer
0,0,-84.86793539
8,0,-84.70714038
16,0,-84.38714631
24,0,-83.91109775
32,0,-83.28359543
40,0,-82.51056339
48,0,-81.59908191
56,0,-80.55719408
64,0,-79.39369493
72,0,-78.11791192
80,0,-76.73948613
88,0,-75.26816209
96,0,-73.71359378
104,0,-72.08517228
112,0,-70.3918796
120,0,-68.64217091
128,0,-66.84388632
136,0,-65.00419157
144,0,-63.12954569
152,0,-61.22569309
160,0,-59.29767627
168,0,-57.3498656
176,0,-55.38600196
184,0,-53.40924844
192,0,-51.42224762
200,0,-49.42718118
208,0,-47.42582931
216,0,-45.41962791
224,0,-43.40972201
232,0,-41.39701436
240,0,-39.38220874
248,0,-37.36584776
256,0,-35.34834512
264,0,-33.33001281
272,0,-31.31108354
280,0,-29.29172902
288,0,-27.27207457
296,0,-25.25221068
304,0,-23.23220198
312,0,-21.21209417
320,0,-19.19191919
328,0,-17.17171717
336,0,-15.15151515
344,0,-13.13131313
352,0,-11.11111111
360,0,-9.090909091
368,0,-7.070707071
376,0,-5.050505051
384,0,-3.03030303
392,0,-1.01010101
400,0,1.01010101
408,0,3.03030303
416,0,5.050505051
424,0,7.070707071
432,0,9.090909091
440,0,11.11111111
448,0,13.13131313
456,0,15.15151515
464,0,17.17171717
472,0,19.19191919
480,0,21.21209417
488,0,23.23220198
496,0,25.25221068
504,0,27.27207457
512,0,29.29172902
520,0,31.31108354
528,0,33.33001281
536,0,35.34834512
544,0,37.36584776
552,0,39.38220874
560,0,41.39701436
568,0,43.40972201
576,0,45.41962791
584,0,47.42582931
592,0,49.42718118
600,0,51.42224762
608,0,53.40924844
616,0,55.38600196
624,0,57.3498656
632,0,59.29767627
640,0,61.22569309
648,0,63.12954569
656,0,65.00419157
664,0,66.84388632
672,0,68.64217091
680,0,70.3918796
688,0,72.08517228
696,0,73.71359378
704,0,75.26816209
712,0,76.73948613
720,0,78.11791192
728,0,79.39369493
736,0,80.55719408
744,0,81.59908191
752,0,82.51056339
760,0,83.28359543
768,0,83.91109775
776,0,84.38714631
784,0,84.70714038
792,0,84.86793539
0,8,-84.86793539
8,8,-84.70714038
16,8,-84.38714631
24,8,-83.91109775
32,8,-83.28359543
40,8,-82.51056339
48,8,-81.59908191
56,8,-80.55719408
64,8,-79.39369493
72,8,-78.11791192
80,8,-76.73948613
88,8,-75.26816209
96,8,-73.71359378
104,8,-72.08517228
112,8,-70.3918796
120,8,-68.64217091
128,8,-66.84388632
136,8,-65.00419157
144,8,-63.12954569
152,8,-61.22569309
160,8,-59.29767627
168,8,-57.3498656
176,8,-55.38600196
184,8,-53.40924844
192,8,-51.42224762
200,8,-49.42718118
208,8,-47.42582931
216,8,-45.41962791
224,8,-43.40972201
232,8,-41.39701436
240,8,-39.38220874
248,8,-37.36584776
256,8,-35.34834512
264,8,-33.33001281
272,8,-31.31108354
280,8,-29.29172902
288,8,-27.27207457
296,8,-25.25221068
304,8,-23.23220198
312,8,-21.21209417
320,8,-19.19191919
328,8,-17.17171717
336,8,-15.15151515
344,8,-13.13131313
352,8,-11.11111111
360,8,-9.090909091
368,8,-7.070707071
376,8,-5.050505051
384,8,-3.03030303
392,8,-1.01010101
400,8,1.01010101
408,8,3.03030303
416,8,5.050505051
424,8,7.070707071
432,8,9.090909091
440,8,11.11111111
448,8,13.13131313
456,8,15.15151515
464,8,17.17171717
472,8,19.19191919
480,8,21.21209417
488,8,23.23220198
496,8,25.25221068
504,8,27.27207457
512,8,29.29172902
520,8,31.31108354
528,8,33.33001281
536,8,35.34834512
544,8,37.36584776
552,8,39.38220874
560,8,41.39701436
568,8,43.40972201
576,8,45.41962791
584,8,47.42582931
592,8,49.42718118
600,8,51.42224762
608,8,53.40924844
616,8,55.38600196
624,8,57.3498656
632,8,59.29767627
640,8,61.22569309
648,8,63.12954569
656,8,65.00419157
664,8,66.84388632
672,8,68.64217091
680,8,70.3918796
688,8,72.08517228
696,8,73.71359378
704,8,75.26816209
712,8,76.73948613
720,8,78.11791192
728,8,79.39369493
736,8,80.55719408
744,8,81.59908191
752,8,82.51056339
760,8,83.28359543
768,8,83.91109775
776,8,84.38714631
784,8,84.70714038
792,8,84.86793539
0,16,-84.86793539
8,16,-84.70714038
16,16,-84.38714631
24,16,-83.91109775
32,16,-83.28359543
40,16,-82.51056339
48,16,-81.59908191
56,16,-80.55719408
64,16,-79.39369493
72,16,-78.11791192
80,16,-76.73948613
88,16,-75.26816209
96,16,-73.71359378
104,16,-72.08517228
112,16,-70.3918796
120,16,-68.64217091
128,16,-66.84388632
136,16,-65.00419157
144,16,-63.12954569
152,16,-61.22569309
160,16,-59.29767627
168,16,-57.3498656
176,16,-55.38600196
184,16,-53.40924844
192,16,-51.42224762
200,16,-49.42718118
208,16,-47.42582931
216,16,-45.41962791
224,16,-43.40972201
232,16,-41.39701436
240,16,-39.38220874
248,16,-37.36584776
256,16,-35.34834512
264,16,-33.33001281
272,16,-31.31108354
280,16,-29.29172902
288,16,-27.27207457
296,16,-25.25221068
304,16,-23.23220198
312,16,-21.21209417
320,16,-19.19191919
328,16,-17.17171717
336,16,-15.15151515
344,16,-13.13131313
352,16,-11.11111111
360,16,-9.090909091
368,16,-7.070707071
376,16,-5.050505051
384,16,-3.03030303
392,16,-1.01010101
400,16,1.01010101
408,16,3.03030303
416,16,5.050505051
424,16,7.070707071
432,16,9.090909091
440,16,11.11111111
448,16,13.13131313
456,16,15.15151515
464,16,17.17171717
472,16,19.19191919
480,16,21.21209417
488,16,23.23220198
496,16,25.25221068
504,16,27.27207457
512,16,29.29172902
520,16,31.31108354
528,16,33.33001281
536,16,35.34834512
544,16,37.36584776
552,16,39.38220874
560,16,41.39701436
568,16,43.40972201
576,16,45.41962791
584,16,47.42582931
592,16,49.42718118
600,16,51.42224762
608,16,53.40924844
616,16,55.38600196
624,16,57.3498656
632,16,59.29767627
640,16,61.22569309
648,16,63.12954569
656,16,65.00419157
664,16,66.84388632
672,16,68.64217091
680,16,70.3918796
688,16,72.08517228
696,16,73.71359378
704,16,75.26816209
712,16,76.73948613
720,16,78.11791192
728,16,79.39369493
736,16,80.55719408
744,16,81.59908191
752,16,82.51056339
760,16,83.28359543
768,16,83.91109775
776,16,84.38714631
784,16,84.70714038
792,16,84.86793539
0,24,-84.86793539
8,24,-84.70714038
16,24,-84.38714631
24,24,-83.91109775
32,24,-83.28359543
40,24,-82.51056339
48,24,-81.59908191
56,24,-80.55719408
64,24,-79.39369493
72,24,-78.11791192
80,24,-76.73948613
88,24,-75.26816209
96,24,-73.71359378
104,24,-72.08517228
112,24,-70.3918796
120,24,-68.64217091
128,24,-66.84388632
136,24,-65.00419157
144,24,-63.12954569
152,24,-61.22569309
160,24,-59.29767627
168,24,-57.3498656
176,24,-55.38600196
184,24,-53.40924844
